customer_id	tot_travel_sales	tot_sales	travel_sales_percentage
4788	5	5	100,000000
4789	13	13	100,000000
4790	17	17	100,000000
4791	9	9	100,000000
4792	4	4	100,000000
4793	6	6	100,000000
4795	7	7	100,000000
4796	45	45	100,000000
4797	27	27	100,000000
4798	31	31	100,000000
4800	13	13	100,000000
4803	0	84	,000000
4804	0	37	,000000
4806	0	6	,000000
4807	0	90	,000000
4808	27	27	100,000000
4809	16	16	100,000000
4810	0	76	,000000
4813	20	20	100,000000
4814	0	30	,000000
4815	14	14	100,000000
4816	17	17	100,000000
4817	5	5	100,000000
4818	5	5	100,000000
4819	36	36	100,000000
4820	1	1	100,000000
4821	23	23	100,000000
4822	0	22	,000000
4823	36	36	100,000000
4824	93	93	100,000000
4825	11	11	100,000000
4826	14	14	100,000000
4827	7	14	50,000000
4828	30	30	100,000000
4829	23	23	100,000000
4830	0	19	,000000
4831	15	15	100,000000
4832	26	26	100,000000
4833	7	7	100,000000
4834	0	10	,000000
4835	8	8	100,000000
4836	41	41	100,000000
4837	7	7	100,000000
4838	14	14	100,000000
4841	8	8	100,000000
4842	33	33	100,000000
4843	0	12	,000000
4844	21	21	100,000000
4845	15	15	100,000000
4846	134	134	100,000000
4847	17	17	100,000000
4848	13	13	100,000000
4849	0	13	,000000
4850	0	9	,000000
4851	0	19	,000000
4853	0	223	,000000
4855	4	4	100,000000
4856	0	16	,000000
4858	118	118	100,000000
4859	4	4	100,000000
4861	33	33	100,000000
4862	0	6	,000000
4863	14	14	100,000000
4864	0	12	,000000
4867	14	14	100,000000
4868	0	222	,000000
4870	0	25	,000000
4871	0	197	,000000
4872	6	6	100,000000
4873	71	71	100,000000
4874	18	18	100,000000
4875	48	48	100,000000
4876	7	7	100,000000
4877	33	33	100,000000
4878	29	29	100,000000
4879	18	18	100,000000
4881	56	56	100,000000
4882	0	12	,000000
4883	11	11	100,000000
4884	17	17	100,000000
4885	5	5	100,000000
4886	9	9	100,000000
4888	0	24	,000000
4889	4	4	100,000000
4890	29	29	100,000000
4891	5	5	100,000000
4892	75	75	100,000000
4894	17	22	77,272727
4895	2	2	100,000000
4896	4	4	100,000000
4898	21	21	100,000000
4900	51	51	100,000000
4901	12	12	100,000000
4902	5	5	100,000000
4903	0	75	,000000
4905	0	18	,000000
4906	15	15	100,000000
4907	0	48	,000000
4909	21	21	100,000000
4910	19	19	100,000000
4911	7	7	100,000000
4912	19	35	54,285714
4913	0	157	,000000
4914	0	177	,000000
4915	14	14	100,000000
4916	24	24	100,000000
4917	8	8	100,000000
4919	8	8	100,000000
4920	0	11	,000000
4921	22	24	91,666667
4923	15	15	100,000000
4924	6	6	100,000000
4925	0	226	,000000
4926	14	14	100,000000
4927	4	4	100,000000
4928	42	42	100,000000
4929	23	23	100,000000
4930	8	8	100,000000
4931	10	10	100,000000
4932	0	131	,000000
4933	0	3	,000000
4934	8	8	100,000000
4936	19	19	100,000000
4937	26	26	100,000000
4938	0	56	,000000
4939	0	5	,000000
4940	4	4	100,000000
4941	21	21	100,000000
4942	37	37	100,000000
4943	15	15	100,000000
4944	1	1	100,000000
4946	16	16	100,000000
4947	0	121	,000000
4948	37	37	100,000000
4949	0	8	,000000
4950	13	13	100,000000
4951	28	28	100,000000
4953	0	200	,000000
4954	18	18	100,000000
4955	10	10	100,000000
4956	0	95	,000000
4958	0	87	,000000
4959	37	37	100,000000
4960	73	73	100,000000
4961	0	61	,000000
4962	0	22	,000000
4963	19	19	100,000000
4964	11	11	100,000000
4965	48	48	100,000000
4966	3	3	100,000000
4967	5	5	100,000000
4968	19	19	100,000000
4969	48	48	100,000000
4970	6	6	100,000000
4971	7	7	100,000000
4972	19	19	100,000000
4973	85	85	100,000000
4974	6	6	100,000000
4975	7	7	100,000000
4977	14	14	100,000000
4978	24	24	100,000000
4979	0	10	,000000
4980	2	2	100,000000
4981	0	16	,000000
4982	18	18	100,000000
4983	50	50	100,000000
4984	7	7	100,000000
4985	0	76	,000000
4986	5	5	100,000000
4987	18	18	100,000000
4988	0	8	,000000
4989	8	8	100,000000
4990	13	13	100,000000
4991	10	10	100,000000
4992	12	12	100,000000
4993	10	10	100,000000
